createdAt,totViews,subscribers,videoCount,channel_ids.Indice
2020-05-22 00:20:30.114,93496341,197000,134,0
2022-02-22 04:47:38.059,58182800,55300,46,1
2021-06-08 01:35:47.434,21664214152,15900000,997,2
2008-05-08 13:19:49.000,1183425226,591000,394,3
2023-01-03 14:53:43.692,528583205,244000,494,4
2024-07-30 07:14:51.311,173683370,337000,131,5
2024-05-14 11:08:42.363,486575846,151000,270,6
2024-07-09 05:25:18.667,79003092,45700,169,7
2013-07-23 23:32:27.000,16560092009,14700000,8849,8
2010-12-10 11:08:40.000,142319449,135000,47,9
2011-08-15 13:32:54.000,2612032938,6330000,2154,10
2024-05-30 13:55:41.389,10501421,10600,164,11
2024-07-21 02:39:00.722,25426212,14000,193,12
2008-04-13 16:45:12.000,419419289,215000,217,13
2024-08-26 04:48:28.010,18055808,25800,93,14
2024-06-29 09:58:37.395,133669973,130000,244,15
2024-09-24 05:04:53.967,15719487,21700,34,16
2024-04-30 21:44:21.540,1269695825,535000,193,17
2024-04-30 18:25:22.842,251558262,247000,369,18
2024-06-21 20:02:35.759,51301890,66800,46,19
2024-06-26 19:32:04.577,14983240,14500,76,20
2013-01-11 02:02:24.000,1962835648,2950000,1857,21
2024-05-21 13:22:59.651,166775413,53500,400,22
2022-03-03 23:23:25.652,651263998,272000,1380,23
2023-11-29 13:56:16.904,288273972,167000,299,24
2020-12-16 03:05:02.553,14089327193,13700000,3660,25
2020-10-21 02:02:03.656,5084924767,6960000,1233,26
2024-05-31 05:13:47.165,236707922,159000,292,27
2010-09-25 05:22:49.000,637001419,544000,332,28
2024-02-14 13:43:08.857,1468540754,763000,190,29
2024-08-14 09:41:56.196,14848104,14300,161,30
2024-09-14 07:38:01.887,25463418,10100,52,31
2024-08-27 15:57:25.884,73394930,42400,86,32
2024-01-20 14:21:47.977,33114867,64100,47,33
2021-08-16 08:24:11.102,839207752,1720000,229,34
2022-09-01 11:18:53.463,999539245,1780000,97,35
2024-04-11 19:50:46.175,76993516,81000,207,36
2024-07-28 08:09:10.350,291836278,221000,139,37
2023-09-27 20:02:20.132,159112344,594000,268,38
2024-07-08 18:05:15.913,16424743,29600,73,39
2018-02-02 07:29:03.000,323297611,181000,145,40
2022-09-01 13:38:55.989,1207187352,434000,731,41
2024-06-02 08:16:20.890,172753376,89300,166,42
2018-06-05 16:12:57.000,246757721,350000,767,43
2024-07-09 03:54:23.484,211170462,177000,123,44
2024-09-10 16:31:14.132,36624852,34600,75,45
2023-06-18 11:37:35.218,1391091979,2330000,295,46
2021-03-25 16:51:34.447,532342199,473000,1022,47
2010-11-09 13:54:13.000,69188207,259000,204,48
2023-07-20 16:51:08.460,158099590,87700,61,49
2018-06-18 09:43:25.000,7123119643,9090000,2387,50
2009-01-03 19:49:49.000,2116824469,1740000,613,51
2017-04-09 15:02:07.000,36537549405,43800000,1879,52
2020-09-03 04:38:38.963,3494487173,3110000,890,53
2023-10-06 08:17:33.292,832704536,1520000,361,54
2024-06-07 13:25:53.545,917858615,636000,261,55
2006-10-18 16:40:14.000,34356549,55500,77,56
2024-05-14 18:43:53.275,856749931,651000,403,57
2024-06-22 09:56:41.070,102473931,63300,246,58
2024-05-23 14:48:59.204,87763659,86300,107,59
2022-07-24 17:14:56.765,1854675477,661000,2190,60
2022-07-28 02:30:30.945,2048834878,1500000,733,61
2015-07-20 08:49:15.000,379538436,267000,294,62
2024-09-12 05:34:13.141,24834292,47100,70,63
2024-08-25 13:43:33.423,15420358,452000,50,64
2022-09-24 16:19:22.651,2124720556,565000,976,65
2024-07-17 09:20:59.568,120471218,81200,270,66
2022-03-09 11:32:11.153,3416990,24700,69,67
2017-10-13 06:16:24.000,54857019,27800,157,68
2020-03-17 09:29:24.303,446231365,2080000,596,69
2006-09-19 05:13:01.000,18279611035,18500000,165834,70
2013-11-24 04:29:31.000,264219278,1560000,81,71
2016-10-10 03:20:50.000,940308854,1020000,1600,72
2015-08-24 01:06:16.000,1720532723,4850000,495,73
